row_index,unitid,key,sources_in_key,has_crawl_in_key,has_cv_in_key,has_both_in_key,key_type,bucket
275,135726,africana,crawl,1,0,0,bucket,
279,174066,black,cv,0,1,0,bucket,
280,176017,black,cv,0,1,0,bucket,
281,178396,black,crawl,1,0,0,bucket,
282,178402,ethnic,crawl,1,0,0,bucket,
283,204185,african,cv,0,1,0,bucket,
283,204185,africana,crawl,1,0,0,bucket,
284,181215,ethnic,crawl,1,0,0,bucket,
285,181394,black,crawl|cv,1,1,1,bucket,
285,181394,minority,cv,0,1,0,bucket,
286,181464,black,crawl,1,0,0,bucket,
286,181464,ethnic,crawl,1,0,0,bucket,
286,181464,minority,cv,0,1,0,bucket,
287,182281,black,crawl|cv,1,1,1,bucket,
287,182281,ethnic,crawl,1,0,0,bucket,
288,182290,race,crawl,1,0,0,bucket,
289,187985,africana,crawl,1,0,0,bucket,
291,199120,black,crawl|cv,1,1,1,bucket,
295,127741,africana,crawl,1,0,0,bucket,
295,127741,black,cv,0,1,0,bucket,
296,152080,africana,crawl,1,0,0,bucket,
296,152080,black,cv,0,1,0,bucket,
296,152080,minority,cv,0,1,0,bucket,
298,209551,african,crawl,1,0,0,bucket,
298,209551,black,crawl,1,0,0,bucket,
298,209551,ethnic,crawl|cv,1,1,1,bucket,
299,215062,african,cv,0,1,0,bucket,
299,215062,black,cv,0,1,0,bucket,
300,215293,black,cv,0,1,0,bucket,
300,215293,minority,cv,0,1,0,bucket,
303,217484,africana,crawl,1,0,0,bucket,
304,195030,black,crawl,1,0,0,bucket,
306,122612,african,crawl,1,0,0,bucket,
306,122612,black,crawl,1,0,0,bucket,
307,102094,black,crawl,1,0,0,bucket,
309,137351,africana,crawl,1,0,0,bucket,
312,120883,ethnic,crawl,1,0,0,bucket,
316,234076,black,crawl|cv,1,1,1,bucket,
318,240329,race,crawl,1,0,0,bucket,
319,240444,african,crawl,1,0,0,bucket,
319,240444,black,crawl,1,0,0,bucket,
320,240453,african,crawl,1,0,0,bucket,
320,240453,black,cv,0,1,0,bucket,
320,240453,ethnic,crawl,1,0,0,bucket,
320,240453,mena,crawl,1,0,0,bucket,
320,240453,race,crawl,1,0,0,bucket,
322,240374,ethnic,crawl,1,0,0,bucket,
323,240189,black,crawl,1,0,0,bucket,
323,240189,race,crawl,1,0,0,bucket,
324,240727,black,cv,0,1,0,bucket,
325,216524,black,crawl,1,0,0,bucket,
326,141264,africana,crawl,1,0,0,bucket,
327,221999,black,crawl|cv,1,1,1,bucket,
328,197133,african,cv,0,1,0,bucket,
328,197133,africana,crawl,1,0,0,bucket,
330,234030,black,cv,0,1,0,bucket,
331,233921,ethnic,crawl,1,0,0,bucket,
332,152673,black,crawl,1,0,0,bucket,
333,199847,african,crawl,1,0,0,bucket,
333,199847,black,crawl,1,0,0,bucket,
333,199847,ethnic,crawl,1,0,0,bucket,
334,234207,africana,crawl,1,0,0,bucket,
335,164216,black,crawl,1,0,0,bucket,
336,236939,minority,cv,0,1,0,bucket,
337,179867,black,cv,0,1,0,bucket,
338,172644,black,crawl|cv,1,1,1,bucket,
338,172644,minority,cv,0,1,0,bucket,
339,168218,africana,crawl,1,0,0,bucket,
339,168218,black,cv,0,1,0,bucket,
339,168218,ethnic,crawl,1,0,0,bucket,
341,216764,black,crawl,1,0,0,bucket,
341,216764,ethnic,crawl,1,0,0,bucket,
343,157951,africana,crawl,1,0,0,bucket,
343,157951,black,crawl,1,0,0,bucket,
344,172699,black,crawl|cv,1,1,1,bucket,
345,237011,ethnic,crawl,1,0,0,bucket,
346,237057,ethnic,crawl,1,0,0,bucket,
346,237057,minority,cv,0,1,0,bucket,
347,210401,ethnic,cv,0,1,0,bucket,
348,231624,africana,crawl,1,0,0,bucket,
351,218964,black,crawl,1,0,0,bucket,
353,218973,black,crawl,1,0,0,bucket,
353,218973,mena,crawl,1,0,0,bucket,
354,206604,black,crawl,1,0,0,bucket,
355,130794,african,crawl|cv,1,1,1,bucket,
355,130794,black,crawl|cv,1,1,1,bucket,
355,130794,minority,cv,0,1,0,bucket,
356,206695,african,cv,0,1,0,bucket,
356,206695,africana,crawl,1,0,0,bucket,
356,206695,black,cv,0,1,0,bucket,
7,189097,department_unit,crawl,1,0,0,title_kind,africana
14,164988,center_institute,crawl,1,0,0,title_kind,african
15,161004,department_unit,crawl,1,0,0,title_kind,africana
19,217156,department_unit,crawl,1,0,0,title_kind,africana
23,115755,center_institute,crawl,1,0,0,title_kind,africana
25,110538,department_unit,crawl,1,0,0,title_kind,ethnic
26,110547,committee_admin,crawl,1,0,0,title_kind,ethnic
31,110592,department_unit,crawl,1,0,0,title_kind,africana
48,190099,committee_admin,crawl,1,0,0,title_kind,africana
54,190415,center_institute,crawl,1,0,0,title_kind,africana
55,181002,department_unit,crawl,1,0,0,title_kind,african
57,190549,department_unit,crawl,1,0,0,title_kind,africana
58,190567,department_unit,crawl,1,0,0,title_kind,black
62,190664,center_institute,crawl,1,0,0,title_kind,ethnic
63,182670,committee_admin,crawl,1,0,0,title_kind,mena
63,182670,department_unit,crawl,1,0,0,title_kind,black
83,133951,center_institute,crawl,1,0,0,title_kind,african
85,191241,department_unit,crawl,1,0,0,title_kind,black
96,198613,department_unit,crawl,1,0,0,title_kind,black
99,166027,center_institute,crawl,1,0,0,title_kind,african
99,166027,center_institute,crawl,1,0,0,title_kind,black
99,166027,center_institute,crawl,1,0,0,title_kind,mena
99,166027,center_institute,crawl,1,0,0,title_kind,race
99,166027,committee_admin,crawl,1,0,0,title_kind,ethnic
117,203517,department_unit,crawl,1,0,0,title_kind,africana
135,127565,department_unit,crawl,1,0,0,title_kind,africana
142,140553,center_institute,crawl,1,0,0,title_kind,other
143,166939,department_unit,crawl,1,0,0,title_kind,race
151,147776,center_institute,crawl,1,0,0,title_kind,african
151,147776,center_institute,crawl,1,0,0,title_kind,other
151,147776,committee_admin,crawl,1,0,0,title_kind,other
157,204796,center_institute,crawl,1,0,0,title_kind,african
157,204796,center_institute,crawl,1,0,0,title_kind,ethnic
157,204796,center_institute,crawl,1,0,0,title_kind,other
157,204796,department_unit,crawl,1,0,0,title_kind,black
159,204909,department_unit,crawl,1,0,0,title_kind,africana
166,186131,department_unit,crawl,1,0,0,title_kind,black
180,179159,department_unit,crawl,1,0,0,title_kind,black
186,122597,department_unit,crawl,1,0,0,title_kind,africana
193,167783,center_institute,crawl,1,0,0,title_kind,africana
194,167835,department_unit,crawl,1,0,0,title_kind,africana
197,149222,center_institute,crawl,1,0,0,title_kind,other
197,149222,department_unit,crawl,1,0,0,title_kind,africana
200,141060,committee_admin,crawl,1,0,0,title_kind,black
215,196149,department_unit,crawl,1,0,0,title_kind,africana
217,216287,center_institute,crawl,1,0,0,title_kind,african
217,216287,department_unit,crawl,1,0,0,title_kind,black
219,216339,committee_admin,crawl,1,0,0,title_kind,black
219,216339,department_unit,crawl,1,0,0,title_kind,black
230,228778,department_unit,crawl,1,0,0,title_kind,african
234,160755,department_unit,crawl,1,0,0,title_kind,africana
240,106397,center_institute,crawl,1,0,0,title_kind,other
245,110671,department_unit,crawl,1,0,0,title_kind,ethnic
250,144050,center_institute,crawl,1,0,0,title_kind,mena
250,144050,center_institute,crawl,1,0,0,title_kind,race
250,144050,committee_admin,crawl,1,0,0,title_kind,african
250,144050,department_unit,crawl,1,0,0,title_kind,race
258,134130,center_institute,crawl,1,0,0,title_kind,african
260,141574,department_unit,crawl,1,0,0,title_kind,ethnic
261,225511,department_unit,crawl,1,0,0,title_kind,black
266,155317,center_institute,crawl,1,0,0,title_kind,african
266,155317,department_unit,crawl,1,0,0,title_kind,black
272,166638,department_unit,crawl,1,0,0,title_kind,africana
289,187985,center_institute,crawl,1,0,0,title_kind,race
291,199120,center_institute,crawl,1,0,0,title_kind,african
291,199120,center_institute,crawl,1,0,0,title_kind,other
298,209551,department_unit,crawl,1,0,0,title_kind,ethnic
301,236328,center_institute,crawl,1,0,0,title_kind,race
318,240329,department_unit,crawl,1,0,0,title_kind,race
322,240374,center_institute,crawl,1,0,0,title_kind,ethnic
327,221999,center_institute,crawl,1,0,0,title_kind,other
333,199847,center_institute,crawl,1,0,0,title_kind,black
337,179867,center_institute,crawl,1,0,0,title_kind,african
337,179867,center_institute,crawl,1,0,0,title_kind,ethnic
338,172644,department_unit,crawl,1,0,0,title_kind,black
339,168218,department_unit,crawl,1,0,0,title_kind,africana
342,149772,department_unit,crawl,1,0,0,title_kind,race
