unitid,bucket,canonical_title,sources,program_conf_max,has_both_sources,program_conf_final
188429,black,"African, Black and Caribbean Studies",crawl,70,False,70
189097,african,African Studies,cv,100,False,100
189097,africana,Africana Studies,crawl,90,False,90
190099,africana,Africana And Latin American Studies,crawl,70,False,70
190099,africana,Africana and Latin American Studies,crawl,70,False,70
190415,africana,Africana Studies,crawl,90,False,90
190415,black,African-American/Black Studies,cv,100,False,100
190415,black,Black studies,crawl,90,False,90
190512,black,Black and Latino Studies,crawl,70,False,70
190549,africana,Africana Studies,crawl,90,False,90
190549,africana,"Africana Studies, B.A.",crawl,70,False,70
190549,black,African-American/Black Studies,cv,100,False,100
190549,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
190558,african,African and African Diaspora Studies,crawl,70,False,70
190567,black,Major in Black Studies,crawl,100,False,100
190567,black,Minor in Black Studies,crawl,100,False,100
190594,africana,Africana and Puerto Rican/Latino Studies,crawl,70,False,70
190594,africana,"Africana, Puerto Rican and Latino Studies",crawl,70,False,70
190637,africana,AFRICANA STUDIES,crawl,90,False,90
190637,africana,Africana Studies,crawl,90,False,90
190637,africana,BA Africana Studies,crawl,100,False,100
190655,black,Black Visual Cultures -,crawl,70,False,70
190655,black,Minor in Black Visual Cultures,crawl,70,False,70
190664,africana,Africana Studies,crawl,90,False,90
190664,black,"Africana Studies (BA) with a concentration in Africa, Caribbean, or African American Studies.",crawl,100,False,100
190664,black,"Bachelor of Arts (BA), with a concentration in Africa, Caribbean, or African American Studies",crawl,100,False,100
191241,black,African and African American Studies,crawl,100,False,100
191241,black,African-American/Black Studies,cv,100,False,100
191515,africana,Africana Studies,crawl,90,False,90
191515,black,African-American/Black Studies,cv,100,False,100
191630,african,African Studies,cv,100,False,100
191630,africana,Africana Studies,crawl,90,False,90
191630,africana,"Minor Africana Studies Africa, Diaspora, undecided",crawl,90,False,90
193900,black,African-American/Black Studies,cv,100,False,100
193900,ethnic,Ethnic Studies,cv,100,False,100
193900,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
193973,black,Africana/Black Studies,crawl,90,False,90
195030,black,Black Studies,crawl,90,False,90
195216,african,African Studies,crawl,90,False,90
195216,african,African Studies Program Type,crawl,90,False,90
195216,black,African American Studies,crawl,70,False,70
195216,black,African American Studies Program Type,crawl,70,False,70
195216,black,number of majors you can choose from to pair with your African American studies,crawl,70,False,70
195720,black,African American Studies,crawl,70,False,70
196060,africana,Africana Studies,crawl,100,False,100
196079,black,African-American/Black Studies,cv,100,False,100
196088,black,8/13/25 African American Studies,crawl,70,False,70
196097,africana,Africana Studies,crawl,90,False,90
196121,black,African and African-American Studies,crawl,70,False,70
196121,black,African and African-American Studies + MPH Accelerated degree,crawl,70,False,70
196121,black,African and African-American Studies + Public Health Accelerated Degree,crawl,100,False,100
196121,black,African and African-American Studies Major/Minor,crawl,70,False,70
196130,africana,Africana Studies,crawl,90,False,90
196130,africana,Africana Studies B.A.,crawl,70,False,70
196130,black,African-American/Black Studies,cv,100,False,100
196149,black,African American Studies,crawl,70,False,70
196149,black,Dual Major in Adolescence Education: Social Studies and African American Studies,crawl,70,False,70
196158,black,African American Studies,crawl,70,False,70
196158,ethnic,Ethnic and Gender Studies,crawl,100,False,100
196158,ethnic,Ethnic and Gender Studies B.A.,crawl,100,False,100
196158,ethnic,Ethnic and Gender Studies Program at Fredonia,crawl,70,False,70
196158,ethnic,Multi-Ethnic Studies,crawl,90,False,90
196194,black,African/African-American Studies,crawl,70,False,70
196413,black,African-American/Black Studies,cv,100,False,100
196413,black,Black Studies,crawl,100,False,100
196866,africana,Africana Studies,crawl,90,False,90
197133,african,African Studies,cv,100,False,100
197133,africana,Africana Studies,crawl,90,False,90
198419,african,African Studies,cv,100,False,100
198464,black,African-American/Black Studies,cv,100,False,100
198516,black,African and African-American Studies,crawl,70,False,70
198613,black,African and African American Studies,crawl,100,False,100
199120,black,"African, African American and Diaspora Studies",crawl,70,False,70
199120,black,African-American/Black Studies,cv,100,False,100
199193,black,African-American/Black Studies,cv,100,False,100
199847,african,African Studies,crawl,90,False,90
199847,black,African American Studies,crawl,70,False,70
199847,black,African American Studies Major,crawl,70,False,70
199847,ethnic,American Ethnic Studies,crawl,90,False,90
201441,african,African Studies,cv,100,False,100
201441,ethnic,Ethnic Studies,crawl,90,False,90
201441,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
201885,black,African-American/Black Studies,cv,100,False,100
202134,black,African-American/Black Studies,cv,100,False,100
202480,race,Race and Ethic Studies,crawl,70,False,70
202480,race,Race and Ethnic Studies,crawl,100,False,100
202523,black,African-American/Black Studies,cv,100,False,100
203535,african,African Diaspora Studies,crawl,70,False,70
203535,african,African Diaspora Studies concentration,crawl,70,False,70
204024,black,African-American/Black Studies,cv,100,False,100
204185,african,African Studies,cv,100,False,100
204185,africana,Africana Studies,crawl,90,False,90
204501,africana,Africana Studies,crawl,90,False,90
204501,africana,Engaged Africana Studies,crawl,90,False,90
204501,africana,More in Africana Studies,crawl,90,False,90
204501,black,African American Music,crawl,70,False,70
204501,black,African-American/Black Studies,cv,100,False,100
204501,mena,Middle East and North Africa Studies,crawl,70,False,70
204796,ethnic,Comparative Ethnic and American Studies,crawl,70,False,70
204857,african,African Studies,crawl,90,False,90
204857,black,African American Studies,crawl,70,False,70
204909,africana,"Africana, Gender, and Identity Studies",crawl,70,False,70
204909,black,African-American/Black Studies,cv,100,False,100
206589,africana,Africana Studies,crawl,90,False,90
206589,africana,Africana studies major makes connection with Wooster alumnus in legal field,crawl,90,False,90
206589,black,African-American/Black Studies,cv,100,False,100
206604,black,African and African American Studies,crawl,100,False,100
206695,african,African Studies,cv,100,False,100
206695,africana,Africana Studies,crawl,90,False,90
206695,africana,Minor in Africana Studies,crawl,100,False,100
206695,black,African-American/Black Studies,cv,100,False,100
209056,ethnic,Ethnic Studies,crawl,90,False,90
209056,mena,Middle East and North Africa Studies,crawl,100,False,100
209542,ethnic,Ethnic Studies,crawl|cv,100,True,100
209542,ethnic,Ethnic Studies Graduate,crawl,90,False,90
